110.2355 	EXP 	New trial (rep=4, index=0): OrderedDict([('word', 'green'), ('colour', 'green'), ('congruent', 1), ('corrAns', 'down')])
110.2502 	EXP 	image: autoDraw = False
110.2502 	EXP 	Target: color = 'green (named)'
110.2502 	EXP 	Target: text = 'green'
110.7346 	EXP 	Target: autoDraw = True
111.3287 	DATA 	Keypress: down
111.3509 	EXP 	Target: autoDraw = False
111.3509 	EXP 	image: image = 'correct.jpeg'
111.3509 	EXP 	image: autoDraw = True
112.3357 	EXP 	New trial (rep=4, index=1): OrderedDict([('word', 'red'), ('colour', 'blue'), ('congruent', 0), ('corrAns', 'right')])
112.3510 	EXP 	image: autoDraw = False
112.3510 	EXP 	Target: color = 'blue (named)'
112.3510 	EXP 	Target: text = 'red'
112.8344 	EXP 	Target: autoDraw = True
113.7278 	DATA 	Keypress: right
113.7512 	EXP 	Target: autoDraw = False
113.7512 	EXP 	image: image = 'correct.jpeg'
113.7512 	EXP 	image: autoDraw = True
114.7354 	EXP 	New trial (rep=4, index=2): OrderedDict([('word', 'red'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
114.7507 	EXP 	image: autoDraw = False
114.7507 	EXP 	Target: color = 'green (named)'
114.7507 	EXP 	Target: text = 'red'
115.2345 	EXP 	Target: autoDraw = True
116.1252 	DATA 	Keypress: down
116.1343 	EXP 	Target: autoDraw = False
116.1343 	EXP 	image: image = 'correct.jpeg'
116.1343 	EXP 	image: autoDraw = True
117.1218 	EXP 	New trial (rep=4, index=3): OrderedDict([('word', 'yellow'), ('colour', 'yellow'), ('congruent', 1), ('corrAns', 'up')])
117.1514 	EXP 	image: autoDraw = False
117.1514 	EXP 	image: autoDraw = False
117.1514 	EXP 	Target: color = 'yellow (named)'
117.1514 	EXP 	Target: text = 'yellow'
117.6337 	EXP 	Target: autoDraw = True
118.5267 	DATA 	Keypress: up
118.5346 	EXP 	Target: autoDraw = False
118.5346 	EXP 	image: image = 'correct.jpeg'
118.5346 	EXP 	image: autoDraw = True
119.5187 	EXP 	New trial (rep=4, index=4): OrderedDict([('word', 'red'), ('colour', 'red'), ('congruent', 1), ('corrAns', 'left')])
119.5334 	EXP 	image: autoDraw = False
119.5334 	EXP 	image: autoDraw = False
119.5334 	EXP 	Target: color = 'red (named)'
119.5334 	EXP 	Target: text = 'red'
120.0166 	EXP 	Target: autoDraw = True
120.6090 	DATA 	Keypress: left
120.6165 	EXP 	Target: autoDraw = False
120.6165 	EXP 	image: image = 'correct.jpeg'
120.6165 	EXP 	image: autoDraw = True
121.6029 	EXP 	New trial (rep=4, index=5): OrderedDict([('word', 'green'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
121.6181 	EXP 	image: autoDraw = False
121.6181 	EXP 	image: autoDraw = False
121.6181 	EXP 	Target: color = 'yellow (named)'
121.6181 	EXP 	Target: text = 'green'
122.1017 	EXP 	Target: autoDraw = True
122.6402 	DATA 	Keypress: up
122.6516 	EXP 	Target: autoDraw = False
122.6516 	EXP 	image: image = 'correct.jpeg'
122.6516 	EXP 	image: autoDraw = True
123.6367 	EXP 	New trial (rep=4, index=6): OrderedDict([('word', 'blue'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
123.6509 	EXP 	image: autoDraw = False
123.6509 	EXP 	image: autoDraw = False
123.6509 	EXP 	Target: color = 'yellow (named)'
123.6509 	EXP 	Target: text = 'blue'
124.1353 	EXP 	Target: autoDraw = True
124.5899 	DATA 	Keypress: up
124.6029 	EXP 	Target: autoDraw = False
124.6029 	EXP 	image: image = 'correct.jpeg'
124.6029 	EXP 	image: autoDraw = True
125.6010 	EXP 	New trial (rep=4, index=7): OrderedDict([('word', 'blue'), ('colour', 'green'), ('congruent', 0), ('corrAns', 'down')])
125.6174 	EXP 	image: autoDraw = False
125.6174 	EXP 	Target: color = 'green (named)'
125.6174 	EXP 	Target: text = 'blue'
126.1014 	EXP 	Target: autoDraw = True
126.8070 	DATA 	Keypress: down
126.8171 	EXP 	Target: autoDraw = False
126.8171 	EXP 	image: image = 'correct.jpeg'
126.8171 	EXP 	image: autoDraw = True
127.8031 	EXP 	New trial (rep=4, index=8): OrderedDict([('word', 'red'), ('colour', 'yellow'), ('congruent', 0), ('corrAns', 'up')])
127.8182 	EXP 	image: autoDraw = False
127.8182 	EXP 	Target: color = 'yellow (named)'
127.8182 	EXP 	Target: text = 'red'
128.3022 	EXP 	Target: autoDraw = True
128.8414 	DATA 	Keypress: up
128.8511 	EXP 	Target: autoDraw = False
128.8511 	EXP 	image: image = 'correct.jpeg'
128.8511 	EXP 	image: autoDraw = True
129.8371 	EXP 	New trial (rep=4, index=9): OrderedDict([('word', 'blue'), ('colour', 'blue'), ('congruent', 1), ('corrAns', 'right')])
129.8518 	EXP 	image: autoDraw = False
129.8518 	EXP 	image: autoDraw = False
129.8518 	EXP 	Target: color = 'blue (named)'
129.8518 	EXP 	Target: text = 'blue'
130.3353 	EXP 	Target: autoDraw = True
130.9425 	DATA 	Keypress: right
130.9511 	EXP 	Target: autoDraw = False
130.9511 	EXP 	image: image = 'correct.jpeg'
130.9511 	EXP 	image: autoDraw = True
132.3519 	EXP 	image: autoDraw = False
132.3519 	EXP 	image: autoDraw = False
134.0366 	EXP 	window1: mouseVisible = True
